x1,y1,z1,x2,y2,z2,x3,y3,z3
"-4.3289795,6.6408234,6.0644073","-3.9640808,-0.35220337,-1.9419708","2.2153778,7.4675446,1.34935"
"-4.704666,6.655182,6.063217","-6.642853,9.491867,-2.0723877","2.2129974,5.829651,1.6137543"
"-4.8673706,6.508026,6.64946","-7.69928,9.35788,8.269394","4.343796,3.601944,3.0973053"
"-5.375839,7.313202,5.965103","-3.779831,8.903244,1.2703857","6.225754,2.0095215,4.6586304"
"-6.907257,10.664352,3.4933167","1.1601563,3.2513885,9.102097","10.4036255,1.169632,13.330215"
"-0.59498596,5.081894,3.7074738","4.1296387,4.7540894,2.1641083","4.9384155,0.5845947,11.408783"
"-1.2649841,3.4691315,2.3950195","-19.114243,16.968246,9.472992","2.7035217,1.5859833,8.9166565"
"-5.411743,4.062561,4.7339935","-8.758102,6.9494934,-3.1730804","3.8771973,2.7859802,6.8815613"
"-7.125,2.3480988,6.81575","-7.203964,3.0659485,-1.4023895","4.373703,2.2236786,6.9904327"
"-9.365875,0.3405304,8.953735","-9.125397,4.317398,3.030304","4.446686,1.9293518,9.224136"
"-13.662186,-3.6124268,2.1521454","-8.370468,2.3457031,20.569702","4.4766083,2.3385315,7.7609253"
"-16.314636,-1.4253845,3.4622192","1.2893677,3.1987457,11.896912","4.898941,2.464157,9.727814"
"-14.224503,-0.6201935,5.307083","1.3001251,2.862564,9.691925","2.9942474,1.178009,11.524826"
"-13.724411,-0.66685486,0.75234985","3.1342316,1.3383331,5.967499","3.3148804,3.3459015,6.8492584"
"-15.364685,-0.50653076,-0.9405823","0.5272522,4.9443207,13.520447","2.9786987,4.979004,7.2237244"
"-11.280136,-0.5771179,3.285141","1.9533691,0.65278625,13.689133","0.68995667,6.1766205,6.8372955"
"-7.4647827,0.47930908,-0.28494263","-5.1042633,3.03125,5.454239","0.7940521,5.993561,6.0033875"
"-6.57106,0.31539917,0.9641113","-5.7263947,2.2164917,5.3417816","0.7174835,5.698059,4.3966064"
"-8.176651,-1.0891876,-0.44766235","-7.9397583,1.280899,16.095123","2.2453003,6.2603607,5.417145"
"-15.705658,-1.5928802,0.8049774","0.3023224,3.8172913,9.691925","2.4139862,5.341522,3.9886322"
"-14.638458,0.6958618,2.7312012","1.7954407,1.4854889,4.7124634","1.8349304,3.3853912,3.6129608"
"-12.50885,-0.23854065,-1.6811523","1.6411133,1.0117035,5.3740845","0.91607666,2.364853,10.053238"
"-12.459793,-0.5280762,0.5214386","3.1509705,-0.27442932,20.792236","-0.51123047,3.0204773,15.184647"
"-15.134979,0.20892334,2.0600128","-6.188202,3.7203827,6.1230316","-0.71821594,0.95547485,11.339386"
"-13.663391,-0.004043579,5.893326","-7.0532074,3.120987,4.7866364","1.8002319,2.2846985,7.582657"
"-5.489502,1.9389343,4.711273","-5.4225006,2.1638489,9.500504","2.2596436,1.6182861,10.591629"
"2.7884674,0.41470337,8.860428","-9.249832,1.9532928,15.983856","2.372116,1.7810059,8.648651"
"0.7605438,2.6352386,5.145569","0.74380493,2.4821014,10.774673","2.5180817,2.1207886,8.938187"
"3.8903656,3.183197,10.456436","2.186676,1.7702332,5.585846","1.6985321,1.753479,9.298309"
